year,month,rainfall,date
1925,4,96.30000060796738,1925-04-01
1925,5,75.80000152438879,1925-05-01
1925,6,9.300000078976154,1925-06-01
1925,7,59.19999948143959,1925-07-01
1925,8,29.99999976158142,1925-08-01
1925,9,38.699999794363976,1925-09-01
1925,10,49.199999034404755,1925-10-01
1925,11,185.55000108480453,1925-11-01
1925,12,72.04999972507358,1925-12-01
1926,1,122.64999902248383,1926-01-01
1926,2,102.70000026375055,1926-02-01
1926,3,29.800000116229057,1926-03-01
1926,4,114.60000102594495,1926-04-01
1926,5,105.2999999858439,1926-05-01
1926,6,20.70000024139881,1926-06-01
1926,7,31.599999345839024,1926-07-01
1926,8,30.299999713897705,1926-08-01
1926,9,91.49999961256981,1926-09-01
1926,10,135.74999952316284,1926-10-01
1926,11,312.4999984353781,1926-11-01
1926,12,73.80000000074506,1926-12-01
1927,1,206.90000075101852,1927-01-01
1927,2,61.44999920204282,1927-02-01
1927,3,262.35000067204237,1927-03-01
1927,4,55.54999981075525,1927-04-01
1927,5,65.79999984800816,1927-05-01
1927,6,40.75000020861626,1927-06-01
1927,7,6.9999998807907104,1927-07-01
1927,8,4.5,1927-08-01
1927,9,45.0999992787838,1927-09-01
1927,10,104.00000165775418,1927-10-01
1927,11,93.049999024719,1927-11-01
1927,12,138.14999932050705,1927-12-01
1928,1,68.19999991357327,1928-01-01
1928,2,32.400000244379044,1928-02-01
1928,3,210.30000092834234,1928-03-01
1928,4,83.34999993816018,1928-04-01
1928,5,46.10000043362379,1928-05-01
1928,6,13.950000055134296,1928-06-01
1928,7,12.100000023841858,1928-07-01
1928,8,3.200000047683716,1928-08-01
1928,9,132.8499995097518,1928-09-01
1928,10,194.9000003412366,1928-10-01
1928,11,179.50000055134296,1928-11-01
1928,12,72.05000045895576,1928-12-01
1929,1,113.05000060796738,1929-01-01
1929,2,59.399998903274536,1929-02-01
1929,3,5.799999982118607,1929-03-01
1929,4,32.45000006631017,1929-04-01
1929,5,60.15000033378601,1929-05-01
1929,6,29.099999621510506,1929-06-01
1929,7,22.799999237060547,1929-07-01
1929,8,12.600000277161598,1929-08-01
1929,9,50.89999971538782,1929-09-01
1929,10,143.8000006377697,1929-10-01
1929,11,123.05000026524067,1929-11-01
1929,12,70.39999996125698,1929-12-01
1930,1,159.49999879300594,1930-01-01
1930,2,159.3499986231327,1930-02-01
1930,3,120.65000033378601,1930-03-01
1930,4,115.85000071674585,1930-04-01
1930,5,128.00000025331974,1930-05-01
1930,6,44.499999821186066,1930-06-01
1930,7,32.05000024288893,1930-07-01
1930,8,19.30000001192093,1930-08-01
1930,9,35.799999713897705,1930-09-01
1930,10,86.15000003576279,1930-10-01
1930,11,100.29999981075525,1930-11-01
1930,12,103.85000014305115,1930-12-01
1931,1,80.50000035762787,1931-01-01
1931,2,216.79999808222055,1931-02-01
1931,3,106.60000211000443,1931-03-01
1931,4,31.50000001490116,1931-04-01
1931,5,160.29999899864197,1931-05-01
1931,6,10.30000002682209,1931-06-01
1931,7,5.599999964237213,1931-07-01
1931,8,30.299999952316284,1931-08-01
1931,9,36.30000056326389,1931-09-01
1931,10,84.89999909698963,1931-10-01
1931,11,192.19999898970127,1931-11-01
1931,12,26.29999926686287,1931-12-01
1932,1,11.499999716877937,1932-01-01
1932,2,14.800000190734863,1932-02-01
1932,3,83.20000014454126,1932-03-01
1932,4,50.999999701976776,1932-04-01
1932,5,99.80000215768814,1932-05-01
1932,6,65.3999992609024,1932-06-01
1932,7,113.50000129640102,1932-07-01
1932,8,3.5,1932-08-01
1932,9,130.80000114440918,1932-09-01
1932,10,177.8999981880188,1932-10-01
1932,11,97.09999902546406,1932-11-01
1932,12,160.39999949932098,1932-12-01
1933,1,120.80000013113022,1933-01-01
1933,2,43.40000003576279,1933-02-01
1933,3,28.900000005960464,1933-03-01
1933,4,48.900000751018524,1933-04-01
1933,5,18.399999678134918,1933-05-01
1933,6,114.30000012367964,1933-06-01
1933,7,8.199999809265137,1933-07-01
1933,8,0.0,1933-08-01
1933,9,150.60000107437372,1933-09-01
1933,10,137.6000008881092,1933-10-01
1933,11,173.6000014618039,1933-11-01
1933,12,166.69999988377094,1933-12-01
1934,1,69.89999981224537,1934-01-01
1934,2,58.900000765919685,1934-02-01
1934,3,191.70000068098307,1934-03-01
1934,4,140.60000129044056,1934-04-01
1934,5,69.9000015258789,1934-05-01
1934,6,45.100000619888306,1934-06-01
1934,7,43.30000114440918,1934-07-01
1934,8,43.20000001788139,1934-08-01
1934,9,94.6000007390976,1934-09-01
1934,10,62.800000086426735,1934-10-01
1934,11,196.1999992132187,1934-11-01
1934,12,105.59999884665012,1934-12-01
1935,1,68.90000014007092,1935-01-01
1935,2,53.600000470876694,1935-02-01
