year,month,rainfall,date
1884,7,20.8,1884-07-01
1884,8,50.3,1884-08-01
1884,9,86.0,1884-09-01
1884,10,66.4,1884-10-01
1884,11,10.7,1884-11-01
1884,12,169.8,1884-12-01
1885,1,105.6,1885-01-01
1885,2,75.5,1885-02-01
1885,3,70.2,1885-03-01
1885,4,136.8,1885-04-01
1885,5,41.9,1885-05-01
1885,6,11.7,1885-06-01
1885,7,13.0,1885-07-01
1885,8,127.6,1885-08-01
1885,9,189.6,1885-09-01
1885,10,215.2,1885-10-01
1885,11,80.3,1885-11-01
1885,12,66.3,1885-12-01
1886,1,88.8,1886-01-01
1886,2,37.1,1886-02-01
1886,3,43.0,1886-03-01
1886,4,94.3,1886-04-01
1886,5,79.2,1886-05-01
1886,6,161.3,1886-06-01
1886,7,9.1,1886-07-01
1886,8,44.7,1886-08-01
1886,9,20.0,1886-09-01
1886,10,204.1,1886-10-01
1886,11,125.4,1886-11-01
1886,12,180.7,1886-12-01
1887,1,62.3,1887-01-01
1887,2,18.2,1887-02-01
1887,3,101.5,1887-03-01
1887,4,67.3,1887-04-01
1887,5,145.4,1887-05-01
1887,6,30.1,1887-06-01
1887,7,2.5,1887-07-01
1887,8,22.2,1887-08-01
1887,9,54.0,1887-09-01
1887,10,186.8,1887-10-01
1887,11,212.2,1887-11-01
1887,12,132.0,1887-12-01
1888,1,3.1,1888-01-01
1888,2,183.1,1888-02-01
1888,3,144.5,1888-03-01
1888,4,59.4,1888-04-01
1888,5,29.8,1888-05-01
1888,6,58.0,1888-06-01
1888,7,8.3,1888-07-01
1888,8,23.0,1888-08-01
1888,9,114.5,1888-09-01
1888,10,124.0,1888-10-01
1888,11,109.6,1888-11-01
1888,12,92.0,1888-12-01
1889,1,69.8,1889-01-01
1889,2,95.2,1889-02-01
1889,3,61.2,1889-03-01
1889,4,106.8,1889-04-01
1889,5,42.3,1889-05-01
1889,6,190.8,1889-06-01
1889,7,24.1,1889-07-01
1889,8,20.8,1889-08-01
1889,9,49.7,1889-09-01
1889,10,321.8,1889-10-01
1889,11,120.2,1889-11-01
1889,12,70.0,1889-12-01
1890,1,50.9,1890-01-01
1890,2,2.6,1890-02-01
1890,3,98.9,1890-03-01
1890,4,118.2,1890-04-01
1890,5,62.5,1890-05-01
1890,6,24.0,1890-06-01
1890,7,9.8,1890-07-01
1890,8,46.9,1890-08-01
1890,9,51.6,1890-09-01
1890,10,98.5,1890-10-01
1890,11,106.4,1890-11-01
1890,12,53.5,1890-12-01
1891,1,152.2,1891-01-01
1891,2,4.5,1891-02-01
1891,3,45.5,1891-03-01
1891,4,57.0,1891-04-01
1891,5,38.8,1891-05-01
1891,6,50.8,1891-06-01
1891,7,13.0,1891-07-01
1891,8,49.6,1891-08-01
1891,9,14.0,1891-09-01
1891,10,145.7,1891-10-01
1891,11,134.7,1891-11-01
1892,1,160.1,1892-01-01
1892,2,151.8,1892-02-01
1892,3,164.2,1892-03-01
1892,4,92.3,1892-04-01
1892,5,31.0,1892-05-01
1892,6,16.8,1892-06-01
1892,7,9.5,1892-07-01
1892,8,102.0,1892-08-01
1892,9,37.5,1892-09-01
1892,10,141.8,1892-10-01
1892,11,102.8,1892-11-01
1892,12,117.1,1892-12-01
1893,1,64.4,1893-01-01
1893,2,128.6,1893-02-01
1893,3,3.8,1893-03-01
1893,4,7.2,1893-04-01
1893,5,66.7,1893-05-01
1893,6,39.3,1893-06-01
1893,7,213.7,1893-07-01
1893,8,50.2,1893-08-01
1893,9,108.1,1893-09-01
1893,10,301.1,1893-10-01
1893,11,272.8,1893-11-01
1893,12,81.3,1893-12-01
1894,1,79.9,1894-01-01
1894,2,29.6,1894-02-01
1894,3,27.3,1894-03-01
1894,4,86.7,1894-04-01
1894,5,84.3,1894-05-01
1894,6,31.5,1894-06-01
1894,7,1.2,1894-07-01
1894,8,4.1,1894-08-01
1894,9,114.3,1894-09-01
1894,10,95.0,1894-10-01
1894,11,35.4,1894-11-01
1894,12,22.3,1894-12-01
1895,1,110.5,1895-01-01
1895,2,139.0,1895-02-01
1895,3,69.6,1895-03-01
1895,4,96.7,1895-04-01
1895,5,75.3,1895-05-01
1895,6,74.4,1895-06-01
1895,7,7.4,1895-07-01
1895,8,8.2,1895-08-01
1895,9,9.6,1895-09-01
1895,10,253.7,1895-10-01
1895,11,126.5,1895-11-01
1895,12,159.2,1895-12-01
1896,1,15.4,1896-01-01
1896,2,13.9,1896-02-01
1896,3,19.4,1896-03-01
1896,4,20.5,1896-04-01
1896,5,108.8,1896-05-01
1896,6,83.6,1896-06-01
1896,7,107.4,1896-07-01
1896,8,274.3,1896-08-01
1896,9,150.3,1896-09-01
1896,10,228.9,1896-10-01
1896,11,186.5,1896-11-01
1896,12,182.3,1896-12-01
1897,1,83.9,1897-01-01
1897,2,21.6,1897-02-01
1897,3,61.3,1897-03-01
1897,4,44.0,1897-04-01
1897,5,56.6,1897-05-01
1897,6,17.4,1897-06-01
1897,7,72.5,1897-07-01
1897,8,68.9,1897-08-01
1897,9,94.0,1897-09-01
1897,10,108.1,1897-10-01
1897,11,44.9,1897-11-01
1897,12,117.2,1897-12-01
1898,1,60.7,1898-01-01
1898,2,81.2,1898-02-01
1898,3,154.3,1898-03-01
1898,4,234.6,1898-04-01
1898,5,80.4,1898-05-01
1898,6,67.3,1898-06-01
1898,7,77.5,1898-07-01
1898,8,45.3,1898-08-01
1898,9,65.2,1898-09-01
1898,10,206.3,1898-10-01
1898,11,319.6,1898-11-01
1898,12,128.1,1898-12-01
1899,1,49.2,1899-01-01
1899,2,56.9,1899-02-01
1899,3,57.6,1899-03-01
1899,4,128.9,1899-04-01
1899,5,32.2,1899-05-01
1899,6,63.7,1899-06-01
1899,7,14.9,1899-07-01
1899,8,18.5,1899-08-01
1899,9,146.0,1899-09-01
1899,10,207.4,1899-10-01
1899,11,40.5,1899-11-01
1899,12,128.8,1899-12-01
1900,1,152.4,1900-01-01
1900,2,62.5,1900-02-01
1900,3,140.4,1900-03-01
1900,4,38.3,1900-04-01
1900,5,113.3,1900-05-01
1900,6,32.5,1900-06-01
1900,7,19.2,1900-07-01
1900,8,19.5,1900-08-01
1900,9,162.4,1900-09-01
1900,10,64.0,1900-10-01
1900,11,304.0,1900-11-01
1900,12,102.6,1900-12-01
1901,1,20.3,1901-01-01
1901,2,151.4,1901-02-01
1901,3,236.6,1901-03-01
1901,4,31.6,1901-04-01
1901,5,58.4,1901-05-01
1901,6,55.3,1901-06-01
1901,7,29.1,1901-07-01
1901,8,33.8,1901-08-01
1901,9,153.5,1901-09-01
1901,10,110.5,1901-10-01
1901,11,56.1,1901-11-01
1901,12,115.8,1901-12-01
1902,1,70.1,1902-01-01
1902,2,147.6,1902-02-01
1902,3,86.8,1902-03-01
1902,4,92.9,1902-04-01
1902,5,33.6,1902-05-01
1902,6,116.2,1902-06-01
1902,7,18.0,1902-07-01
1902,8,43.4,1902-08-01
1902,9,7.8,1902-09-01
1902,10,203.7,1902-10-01
1902,11,88.3,1902-11-01
1902,12,33.8,1902-12-01
1903,1,54.5,1903-01-01
1903,2,8.3,1903-02-01
1903,3,72.6,1903-03-01
1903,4,38.0,1903-04-01
1903,5,110.1,1903-05-01
1903,6,139.0,1903-06-01
1903,7,25.4,1903-07-01
1903,8,0.1,1903-08-01
1903,9,62.9,1903-09-01
1903,10,141.9,1903-10-01
