year,month,rainfall,date
1910,2,96.7,1910-02-01
1910,3,43.1,1910-03-01
1910,4,95.1,1910-04-01
1910,5,38.1,1910-05-01
1910,6,66.5,1910-06-01
1910,7,13.3,1910-07-01
1910,8,67.8,1910-08-01
1910,9,105.5,1910-09-01
1910,10,96.1,1910-10-01
1910,11,302.3,1910-11-01
1910,12,262.7,1910-12-01
1911,1,14.6,1911-01-01
1911,2,27.6,1911-02-01
1911,3,171.3,1911-03-01
1911,4,69.6,1911-04-01
1911,5,122.7,1911-05-01
1911,6,205.2,1911-06-01
1911,7,4.2,1911-07-01
1911,8,38.7,1911-08-01
1911,9,152.8,1911-09-01
1911,10,108.0,1911-10-01
1911,11,273.7,1911-11-01
1911,12,160.0,1911-12-01
1912,1,162.2,1912-01-01
1912,2,296.0,1912-02-01
1912,3,167.1,1912-03-01
1912,4,78.6,1912-04-01
1912,5,62.8,1912-05-01
1912,6,92.2,1912-06-01
1912,7,40.8,1912-07-01
1912,8,61.3,1912-08-01
1912,9,121.0,1912-09-01
1912,10,169.7,1912-10-01
1912,11,107.2,1912-11-01
1912,12,117.0,1912-12-01
1913,1,96.6,1913-01-01
1913,2,18.5,1913-02-01
1913,3,156.4,1913-03-01
1913,4,235.8,1913-04-01
1913,5,25.4,1913-05-01
1913,6,70.8,1913-06-01
1913,7,46.0,1913-07-01
1913,8,7.6,1913-08-01
1913,9,257.0,1913-09-01
1913,10,185.8,1913-10-01
1913,11,186.0,1913-11-01
1913,12,36.0,1913-12-01
1914,1,32.5,1914-01-01
1914,2,167.1,1914-02-01
1914,3,255.5,1914-03-01
1914,4,16.4,1914-04-01
1914,5,161.6,1914-05-01
1914,6,61.5,1914-06-01
1914,7,16.8,1914-07-01
1914,8,61.6,1914-08-01
1914,9,75.0,1914-09-01
1914,10,369.5,1914-10-01
1914,11,68.3,1914-11-01
1914,12,248.6,1914-12-01
1915,1,173.0,1915-01-01
1915,2,296.4,1915-02-01
1915,3,149.5,1915-03-01
1915,4,62.7,1915-04-01
1915,5,197.4,1915-05-01
1915,6,193.3,1915-06-01
1915,7,35.9,1915-07-01
1915,8,9.7,1915-08-01
1915,9,94.0,1915-09-01
1915,10,65.7,1915-10-01
1915,11,256.4,1915-11-01
1915,12,329.0,1915-12-01
1920,1,322.9,1920-01-01
1920,2,183.4,1920-02-01
1920,3,238.7,1920-03-01
1920,4,189.9,1920-04-01
1920,5,14.4,1920-05-01
1920,6,0.0,1920-06-01
1920,12,79.8,1920-12-01
1921,1,55.7,1921-01-01
1921,5,166.8,1921-05-01
1921,6,65.0,1921-06-01
1921,7,30.7,1921-07-01
1921,8,75.9,1921-08-01
1921,9,28.7,1921-09-01
1921,10,36.7,1921-10-01
1921,11,23.6,1921-11-01
1921,12,27.4,1921-12-01
1922,1,71.4,1922-01-01
1922,2,75.4,1922-02-01
1922,3,165.9,1922-03-01
1922,4,146.0,1922-04-01
1922,5,39.8,1922-05-01
1922,6,26.9,1922-06-01
1922,7,0.0,1922-07-01
1922,8,47.3,1922-08-01
1922,9,193.8,1922-09-01
1922,10,245.8,1922-10-01
1922,11,89.7,1922-11-01
1922,12,337.5,1922-12-01
1923,1,17.5,1923-01-01
1923,2,211.6,1923-02-01
1923,3,33.9,1923-03-01
1923,5,31.4,1923-05-01
1923,6,51.8,1923-06-01
1923,7,0.5,1923-07-01
1923,8,32.0,1923-08-01
1923,9,144.6,1923-09-01
1923,10,17.6,1923-10-01
1923,11,279.6,1923-11-01
1923,12,114.9,1923-12-01
1924,1,155.4,1924-01-01
1924,2,93.6,1924-02-01
1924,3,115.2,1924-03-01
1924,4,59.2,1924-04-01
1924,5,87.1,1924-05-01
1924,6,59.4,1924-06-01
1924,7,37.5,1924-07-01
1924,9,0.0,1924-09-01
1924,10,157.2,1924-10-01
1924,11,18.4,1924-11-01
1924,12,106.2,1924-12-01
1925,1,80.9,1925-01-01
1925,2,203.7,1925-02-01
1925,3,68.9,1925-03-01
1925,4,67.4,1925-04-01
1925,5,57.3,1925-05-01
1925,6,44.1,1925-06-01
1925,7,21.2,1925-07-01
1925,8,22.4,1925-08-01
1925,10,30.1,1925-10-01
1925,11,168.9,1925-11-01
1925,12,150.6,1925-12-01
1926,1,145.5,1926-01-01
1926,2,188.1,1926-02-01
1926,3,43.2,1926-03-01
1926,4,91.0,1926-04-01
1926,5,147.5,1926-05-01
1926,6,56.2,1926-06-01
1926,7,8.0,1926-07-01
1926,8,17.0,1926-08-01
1926,10,149.1,1926-10-01
1926,11,318.4,1926-11-01
1926,12,111.4,1926-12-01
1927,1,173.2,1927-01-01
1927,2,128.8,1927-02-01
1927,3,177.0,1927-03-01
1927,4,17.6,1927-04-01
1927,5,47.3,1927-05-01
1927,6,24.8,1927-06-01
1927,7,9.8,1927-07-01
1927,8,0.9,1927-08-01
1927,9,164.3,1927-09-01
1927,10,99.6,1927-10-01
1927,11,149.3,1927-11-01
1927,12,229.2,1927-12-01
1928,1,86.7,1928-01-01
1928,2,25.8,1928-02-01
1928,3,180.1,1928-03-01
1928,4,80.4,1928-04-01
1928,5,37.8,1928-05-01
