year,month,pioggia,data
1847,7,43.2,1847-07-01
1847,8,115.9,1847-08-01
1847,9,22.4,1847-09-01
1847,10,238.2,1847-10-01
1847,11,191.3,1847-11-01
1847,12,101.2,1847-12-01
1848,1,86.6,1848-01-01
1848,2,86.8,1848-02-01
1848,3,130.4,1848-03-01
1848,4,170.9,1848-04-01
1848,5,91.3,1848-05-01
1848,6,20.3,1848-06-01
1848,7,26.39,1848-07-01
1848,8,1.5,1848-08-01
1848,9,192.6,1848-09-01
1848,10,331.1,1848-10-01
1848,11,194.8,1848-11-01
1848,12,74.4,1848-12-01
1849,1,30.2,1849-01-01
1849,2,10.3,1849-02-01
1849,3,49.7,1849-03-01
1849,4,167.6,1849-04-01
1849,5,34.7,1849-05-01
1849,6,4.8,1849-06-01
1849,7,7.7,1849-07-01
1849,8,45.6,1849-08-01
1849,9,109.3,1849-09-01
1849,10,114.8,1849-10-01
1849,11,126.8,1849-11-01
1849,12,146.6,1849-12-01
1850,1,110.1,1850-01-01
1850,2,12.1,1850-02-01
1850,3,2.9,1850-03-01
1850,4,280.4,1850-04-01
1850,5,192.9,1850-05-01
1850,6,31.0,1850-06-01
1850,7,14.8,1850-07-01
1850,8,92.2,1850-08-01
1850,9,33.8,1850-09-01
1850,10,224.6,1850-10-01
1850,11,231.2,1850-11-01
1850,12,52.9,1850-12-01
1851,1,145.0,1851-01-01
1851,2,190.6,1851-02-01
1851,3,34.6,1851-03-01
1851,4,70.0,1851-04-01
1851,5,138.5,1851-05-01
1851,6,61.4,1851-06-01
1851,7,75.7,1851-07-01
1851,8,45.3,1851-08-01
1851,9,268.9,1851-09-01
1851,10,278.8,1851-10-01
1851,11,211.8,1851-11-01
1851,12,22.3,1851-12-01
1852,1,44.1,1852-01-01
1852,2,70.5,1852-02-01
1852,3,20.5,1852-03-01
1852,4,47.4,1852-04-01
1852,5,42.0,1852-05-01
1852,6,28.0,1852-06-01
1852,7,106.1,1852-07-01
1852,8,84.5,1852-08-01
1852,9,185.3,1852-09-01
1852,10,134.9,1852-10-01
1852,11,264.9,1852-11-01
1852,12,237.7,1852-12-01
1853,1,144.0,1853-01-01
1853,2,255.2,1853-02-01
1853,3,137.3,1853-03-01
1853,4,36.7,1853-04-01
1853,5,137.7,1853-05-01
1853,6,115.5,1853-06-01
1853,7,2.7,1853-07-01
1853,8,20.3,1853-08-01
1853,9,92.8,1853-09-01
