year,month,rainfall,date
1892,8,90.7,1892-08-01
1892,9,26.6,1892-09-01
1892,10,104.3,1892-10-01
1892,11,114.1,1892-11-01
1892,12,135.1,1892-12-01
1893,1,50.6,1893-01-01
1893,2,159.64999999999998,1893-02-01
1893,3,14.65,1893-03-01
1893,4,18.65,1893-04-01
1893,5,57.1,1893-05-01
1893,6,105.5,1893-06-01
1893,7,137.65,1893-07-01
1893,8,40.3,1893-08-01
1893,9,86.85,1893-09-01
1893,10,94.80000000000001,1893-10-01
1893,11,227.6,1893-11-01
1893,12,187.2,1893-12-01
1894,1,167.5,1894-01-01
1894,2,55.9,1894-02-01
1894,3,47.6,1894-03-01
1894,4,144.35,1894-04-01
1894,5,105.15,1894-05-01
1894,6,53.3,1894-06-01
1894,7,3.5,1894-07-01
1894,8,16.0,1894-08-01
1894,9,104.7,1894-09-01
1894,10,144.75,1894-10-01
1894,11,99.44999999999999,1894-11-01
1894,12,51.1,1894-12-01
1895,1,171.65,1895-01-01
1895,2,71.7,1895-02-01
1895,3,67.1,1895-03-01
1895,4,125.94999999999999,1895-04-01
1895,5,32.65,1895-05-01
1895,6,59.05,1895-06-01
1895,7,5.8,1895-07-01
1895,8,0.1,1895-08-01
1895,9,31.0,1895-09-01
1895,10,294.29999999999995,1895-10-01
1895,11,113.0,1895-11-01
1895,12,263.85,1895-12-01
1896,1,22.4,1896-01-01
1896,2,11.7,1896-02-01
1896,3,49.8,1896-03-01
1896,4,30.8,1896-04-01
1896,5,65.25,1896-05-01
1896,6,90.85,1896-06-01
1896,7,157.35,1896-07-01
1896,8,209.7,1896-08-01
1896,9,83.75,1896-09-01
1896,10,273.79999999999995,1896-10-01
1896,11,209.55,1896-11-01
1896,12,254.6,1896-12-01
1897,1,150.35,1897-01-01
1897,2,24.9,1897-02-01
1897,3,149.8,1897-03-01
1897,4,70.9,1897-04-01
1897,5,137.0,1897-05-01
1897,6,11.5,1897-06-01
1897,7,51.45,1897-07-01
1897,8,61.65,1897-08-01
1897,9,105.0,1897-09-01
1897,10,154.95,1897-10-01
1897,11,129.1,1897-11-01
1897,12,121.6,1897-12-01
1898,1,120.4,1898-01-01
1898,2,166.4,1898-02-01
1898,3,223.35,1898-03-01
1898,4,222.05,1898-04-01
1898,5,81.85,1898-05-01
1898,6,94.95,1898-06-01
1898,7,50.1,1898-07-01
1898,8,41.2,1898-08-01
1898,9,140.8,1898-09-01
1898,10,278.7,1898-10-01
1898,11,309.29999999999995,1898-11-01
1898,12,172.1,1898-12-01
1899,1,106.15,1899-01-01
1899,2,71.55,1899-02-01
1899,3,111.7,1899-03-01
1899,4,104.1,1899-04-01
1899,5,66.7,1899-05-01
1899,6,100.05,1899-06-01
1899,7,28.4,1899-07-01
1899,8,78.7,1899-08-01
1899,9,151.5,1899-09-01
1899,10,269.7,1899-10-01
1899,11,67.85,1899-11-01
1899,12,111.65,1899-12-01
1900,1,181.1,1900-01-01
1900,2,95.9,1900-02-01
1900,3,232.9,1900-03-01
1900,4,44.6,1900-04-01
1900,5,128.0,1900-05-01
1900,6,63.7,1900-06-01
1900,7,47.3,1900-07-01
1900,8,68.3,1900-08-01
1900,9,214.0,1900-09-01
1900,10,238.7,1900-10-01
1900,11,464.0,1900-11-01
1900,12,162.0,1900-12-01
1901,1,52.7,1901-01-01
1901,2,96.5,1901-02-01
1901,3,381.2,1901-03-01
1901,4,79.4,1901-04-01
1901,5,125.8,1901-05-01
1901,6,59.2,1901-06-01
1901,7,67.2,1901-07-01
1901,8,51.9,1901-08-01
1901,9,128.4,1901-09-01
1901,10,151.1,1901-10-01
1901,11,141.3,1901-11-01
1901,12,390.0,1901-12-01
1902,1,71.1,1902-01-01
1902,2,403.9,1902-02-01
1902,3,134.0,1902-03-01
1902,4,132.6,1902-04-01
1902,5,36.4,1902-05-01
1902,6,98.3,1902-06-01
1902,7,14.6,1902-07-01
1902,8,56.4,1902-08-01
1902,9,16.1,1902-09-01
1902,10,293.8,1902-10-01
1902,11,183.0,1902-11-01
1902,12,38.3,1902-12-01
1903,1,121.6,1903-01-01
1903,2,35.2,1903-02-01
1903,3,144.0,1903-03-01
1903,4,109.9,1903-04-01
1903,5,102.5,1903-05-01
1903,6,365.9,1903-06-01
1903,7,85.8,1903-07-01
1903,8,0.3,1903-08-01
1903,9,95.5,1903-09-01
1903,10,297.0,1903-10-01
1903,11,135.4,1903-11-01
1903,12,402.4,1903-12-01
1904,1,120.9,1904-01-01
1904,2,258.3,1904-02-01
1904,3,167.8,1904-03-01
1904,4,25.1,1904-04-01
1904,5,6.8,1904-05-01
1904,6,49.8,1904-06-01
1904,7,0.5,1904-07-01
1904,8,72.5,1904-08-01
1904,9,128.8,1904-09-01
1904,10,15.6,1904-10-01
1904,11,170.4,1904-11-01
1904,12,232.3,1904-12-01
1905,1,53.6,1905-01-01
1905,2,41.6,1905-02-01
1905,3,288.0,1905-03-01
1905,4,108.7,1905-04-01
1905,5,179.9,1905-05-01
1905,6,162.7,1905-06-01
1905,7,131.4,1905-07-01
1905,8,83.3,1905-08-01
1905,9,104.5,1905-09-01
1905,10,70.1,1905-10-01
1905,11,358.3,1905-11-01
1905,12,43.2,1905-12-01
1906,1,74.0,1906-01-01
1906,2,97.9,1906-02-01
1906,3,98.8,1906-03-01
1906,4,74.0,1906-04-01
1906,5,43.0,1906-05-01
1906,6,15.0,1906-06-01
1906,7,49.0,1906-07-01
1906,8,2.0,1906-08-01
1906,9,79.0,1906-09-01
1906,10,160.2,1906-10-01
1906,11,276.9,1906-11-01
1906,12,71.3,1906-12-01
1907,1,149.2,1907-01-01
1907,2,71.9,1907-02-01
1907,3,22.3,1907-03-01
1907,4,136.6,1907-04-01
1907,5,76.0,1907-05-01
1907,6,25.0,1907-06-01
1907,7,15.0,1907-07-01
1907,8,1.0,1907-08-01
1907,9,139.0,1907-09-01
1907,10,571.0,1907-10-01
1907,11,67.0,1907-11-01
1907,12,176.0,1907-12-01
1908,1,10.0,1908-01-01
1908,2,27.0,1908-02-01
1908,3,171.0,1908-03-01
1908,4,129.0,1908-04-01
1908,5,95.0,1908-05-01
1908,6,28.0,1908-06-01
1908,7,45.0,1908-07-01
1908,8,9.0,1908-08-01
1908,9,125.0,1908-09-01
1908,10,78.0,1908-10-01
1908,11,70.0,1908-11-01
1908,12,167.0,1908-12-01
1909,1,80.0,1909-01-01
1909,2,57.0,1909-02-01
1909,3,246.0,1909-03-01
1909,4,32.0,1909-04-01
1909,5,67.0,1909-05-01
1909,6,138.0,1909-06-01
1909,7,52.9,1909-07-01
1909,8,194.0,1909-08-01
1909,9,56.0,1909-09-01
1909,10,251.5,1909-10-01
1909,11,110.0,1909-11-01
1909,12,323.7,1909-12-01
1910,1,161.5,1910-01-01
1910,2,108.1,1910-02-01
1910,3,71.4,1910-03-01
1910,4,128.1,1910-04-01
1910,5,53.5,1910-05-01
1910,6,59.6,1910-06-01
1910,7,18.1,1910-07-01
1910,8,78.6,1910-08-01
1910,9,103.9,1910-09-01
1910,10,94.0,1910-10-01
1910,11,359.0,1910-11-01
1910,12,260.7,1910-12-01
1911,1,24.0,1911-01-01
1911,2,49.9,1911-02-01
1911,3,166.38,1911-03-01
1911,4,83.0,1911-04-01
1911,5,108.4,1911-05-01
1911,6,97.0,1911-06-01
1911,7,5.4,1911-07-01
1911,8,103.6,1911-08-01
1911,9,194.1,1911-09-01
1911,10,109.0,1911-10-01
1911,11,198.1,1911-11-01
