year,month,rainfall,date
1846,7,33.8,1846-07-01
1846,8,94.6,1846-08-01
1846,9,89.9,1846-09-01
1846,10,240.5,1846-10-01
1846,11,138.1,1846-11-01
1846,12,132.3,1846-12-01
1847,1,104.0,1847-01-01
1847,2,61.1,1847-02-01
1847,3,4.5,1847-03-01
1847,4,112.4,1847-04-01
1847,5,35.4,1847-05-01
1847,6,81.0,1847-06-01
1847,7,75.6,1847-07-01
1847,8,123.1,1847-08-01
1847,9,47.0,1847-09-01
1847,10,49.6,1847-10-01
1847,11,17.3,1847-11-01
1847,12,51.1,1847-12-01
1848,1,22.6,1848-01-01
1848,2,64.8,1848-02-01
1848,3,146.5,1848-03-01
1848,4,67.0,1848-04-01
1848,5,101.6,1848-05-01
1848,6,20.7,1848-06-01
1848,7,59.5,1848-07-01
1848,8,17.6,1848-08-01
1848,9,122.5,1848-09-01
1848,10,186.4,1848-10-01
1848,11,103.8,1848-11-01
1848,12,10.6,1848-12-01
1849,1,33.1,1849-01-01
1849,2,0.4,1849-02-01
1849,3,57.3,1849-03-01
1849,4,181.9,1849-04-01
1849,5,35.8,1849-05-01
1849,6,24.7,1849-06-01
1849,7,11.5,1849-07-01
1849,8,29.4,1849-08-01
1849,9,92.0,1849-09-01
1849,10,80.2,1849-10-01
1849,11,81.1,1849-11-01
1849,12,53.2,1849-12-01
1850,1,22.8,1850-01-01
1850,2,22.1,1850-02-01
1850,3,16.2,1850-03-01
1850,4,107.9,1850-04-01
1850,5,77.4,1850-05-01
1850,6,49.3,1850-06-01
1850,7,58.9,1850-07-01
1850,8,65.9,1850-08-01
1850,9,76.4,1850-09-01
1850,10,246.4,1850-10-01
1850,11,133.9,1850-11-01
1850,12,71.8,1850-12-01
1851,1,19.8,1851-01-01
1851,2,18.8,1851-02-01
1851,3,78.2,1851-03-01
1851,4,97.3,1851-04-01
1851,5,96.0,1851-05-01
1851,6,32.4,1851-06-01
1851,7,43.1,1851-07-01
1851,8,77.1,1851-08-01
1851,9,117.0,1851-09-01
1851,10,242.1,1851-10-01
1851,11,327.6,1851-11-01
1851,12,7.5,1851-12-01
1852,1,48.6,1852-01-01
1852,2,39.8,1852-02-01
1852,3,21.8,1852-03-01
1852,4,123.3,1852-04-01
1852,5,11.3,1852-05-01
1852,6,39.2,1852-06-01
1852,7,37.0,1852-07-01
1852,8,45.1,1852-08-01
1852,9,69.6,1852-09-01
1852,10,118.3,1852-10-01
1852,11,92.4,1852-11-01
1852,12,53.8,1852-12-01
1853,1,126.5,1853-01-01
1853,2,218.4,1853-02-01
1853,3,145.8,1853-03-01
1853,4,67.0,1853-04-01
1853,5,96.0,1853-05-01
1853,6,70.7,1853-06-01
1853,7,0.1,1853-07-01
1853,8,39.5,1853-08-01
1853,9,42.0,1853-09-01
1853,10,185.7,1853-10-01
1853,11,55.8,1853-11-01
1853,12,96.9,1853-12-01
1854,1,76.4,1854-01-01
1854,2,13.2,1854-02-01
1854,3,2.8,1854-03-01
1854,4,91.9,1854-04-01
1854,5,167.2,1854-05-01
1854,6,51.2,1854-06-01
1854,7,17.8,1854-07-01
1854,8,22.1,1854-08-01
1854,9,1.0,1854-09-01
1854,10,73.3,1854-10-01
1854,11,128.9,1854-11-01
1854,12,48.0,1854-12-01
1855,1,88.8,1855-01-01
1855,2,182.2,1855-02-01
1855,3,113.8,1855-03-01
1855,4,36.1,1855-04-01
1855,5,113.0,1855-05-01
1855,6,44.0,1855-06-01
1855,7,8.1,1855-07-01
1855,8,47.8,1855-08-01
1855,9,165.4,1855-09-01
1855,10,75.8,1855-10-01
1855,11,104.9,1855-11-01
1855,12,46.0,1855-12-01
1856,1,156.1,1856-01-01
1856,2,58.9,1856-02-01
1856,3,25.7,1856-03-01
1856,4,95.5,1856-04-01
1856,5,92.2,1856-05-01
1856,6,33.3,1856-06-01
1856,7,1.5,1856-07-01
1856,8,20.9,1856-08-01
1856,9,77.4,1856-09-01
1856,10,12.9,1856-10-01
1856,11,73.4,1856-11-01
1856,12,77.8,1856-12-01
1857,1,70.1,1857-01-01
1857,2,61.1,1857-02-01
1857,3,40.0,1857-03-01
1857,4,91.5,1857-04-01
1857,5,54.3,1857-05-01
1857,6,10.4,1857-06-01
1857,7,29.3,1857-07-01
1857,8,22.2,1857-08-01
1857,9,142.4,1857-09-01
1857,10,118.3,1857-10-01
1857,11,35.1,1857-11-01
1857,12,34.7,1857-12-01
1858,1,11.7,1858-01-01
1858,2,22.3,1858-02-01
1858,3,93.3,1858-03-01
1858,4,39.7,1858-04-01
1858,5,73.4,1858-05-01
1858,6,12.0,1858-06-01
1858,7,20.9,1858-07-01
1858,8,12.1,1858-08-01
1858,9,23.0,1858-09-01
1858,10,91.3,1858-10-01
1858,11,104.3,1858-11-01
1858,12,34.7,1858-12-01
1859,1,9.5,1859-01-01
1859,2,49.6,1859-02-01
1859,3,15.1,1859-03-01
1859,4,61.3,1859-04-01
1859,5,106.2,1859-05-01
1859,6,45.3,1859-06-01
1859,7,17.4,1859-07-01
1859,8,2.8,1859-08-01
1859,9,85.7,1859-09-01
1859,10,198.7,1859-10-01
1859,11,30.0,1859-11-01
1859,12,111.9,1859-12-01
1860,1,94.3,1860-01-01
1860,2,39.4,1860-02-01
1860,3,29.3,1860-03-01
1860,4,109.1,1860-04-01
1860,5,66.5,1860-05-01
1860,6,65.9,1860-06-01
1860,7,24.5,1860-07-01
1860,8,20.2,1860-08-01
1860,9,113.4,1860-09-01
1860,10,50.7,1860-10-01
1860,11,81.0,1860-11-01
1860,12,235.0,1860-12-01
1861,1,19.6,1861-01-01
1861,2,106.5,1861-02-01
1861,3,57.4,1861-03-01
1861,4,15.1,1861-04-01
1861,5,39.3,1861-05-01
1861,6,26.4,1861-06-01
1861,7,10.1,1861-07-01
1861,8,22.9,1861-08-01
1861,9,56.9,1861-09-01
1861,10,80.7,1861-10-01
1861,11,99.1,1861-11-01
1861,12,8.3,1861-12-01
1862,1,95.1,1862-01-01
1862,2,112.1,1862-02-01
1862,3,114.4,1862-03-01
1862,4,30.5,1862-04-01
1862,5,88.1,1862-05-01
1862,6,59.0,1862-06-01
1862,7,0.0,1862-07-01
1862,8,44.2,1862-08-01
1862,9,100.5,1862-09-01
1862,10,174.7,1862-10-01
1862,11,86.3,1862-11-01
1862,12,88.0,1862-12-01
1863,1,206.6,1863-01-01
1863,2,1.6,1863-02-01
1863,3,80.8,1863-03-01
1863,4,27.1,1863-04-01
1863,5,89.2,1863-05-01
1863,6,10.7,1863-06-01
1863,7,37.1,1863-07-01
1863,8,40.4,1863-08-01
1863,9,68.0,1863-09-01
1863,10,191.0,1863-10-01
1863,11,103.0,1863-11-01
1863,12,51.0,1863-12-01
1864,1,51.7,1864-01-01
1864,2,173.1,1864-02-01
1864,3,101.8,1864-03-01
1864,4,12.9,1864-04-01
1864,5,91.0,1864-05-01
1864,6,19.7,1864-06-01
1864,7,17.0,1864-07-01
1864,8,48.0,1864-08-01
1864,9,56.8,1864-09-01
1864,10,68.0,1864-10-01
1864,11,318.3,1864-11-01
1864,12,95.8,1864-12-01
1865,1,87.0,1865-01-01
1865,2,27.7,1865-02-01
1865,3,150.8,1865-03-01
1865,4,10.0,1865-04-01
1865,5,15.3,1865-05-01
1865,6,21.4,1865-06-01
1865,7,75.0,1865-07-01
1865,8,76.9,1865-08-01
1865,9,0.0,1865-09-01
1865,10,104.3,1865-10-01
1865,11,124.1,1865-11-01
1865,12,3.8,1865-12-01
1866,1,67.4,1866-01-01
1866,2,44.3,1866-02-01
1866,3,257.5,1866-03-01
1866,4,110.8,1866-04-01
1866,5,25.4,1866-05-01
1866,6,37.3,1866-06-01
1866,7,34.0,1866-07-01
1866,8,91.3,1866-08-01
1866,9,95.9,1866-09-01
1866,10,86.9,1866-10-01
1866,11,76.7,1866-11-01
1866,12,13.5,1866-12-01
1867,1,223.2,1867-01-01
1867,2,34.6,1867-02-01
1867,3,184.7,1867-03-01
1867,4,61.5,1867-04-01
1867,5,94.0,1867-05-01
1867,6,78.9,1867-06-01
1867,7,14.8,1867-07-01
1867,8,85.2,1867-08-01
1867,9,204.7,1867-09-01
1867,10,183.5,1867-10-01
1867,11,80.3,1867-11-01
1867,12,73.8,1867-12-01
1868,1,108.4,1868-01-01
1868,2,0.0,1868-02-01
1868,3,52.8,1868-03-01
1868,4,77.7,1868-04-01
1868,5,29.8,1868-05-01
1868,6,36.1,1868-06-01
1868,7,171.4,1868-07-01
1868,8,252.2,1868-08-01
1868,9,320.2,1868-09-01
1868,10,137.9,1868-10-01
1868,11,132.2,1868-11-01
1868,12,128.8,1868-12-01
1869,1,42.1,1869-01-01
1869,2,28.8,1869-02-01
1869,3,135.5,1869-03-01
1869,4,119.7,1869-04-01
1869,5,88.0,1869-05-01
1869,6,72.6,1869-06-01
1869,7,39.7,1869-07-01
1869,8,164.8,1869-08-01
