time_regular,rainfall_regular,rainfall_no_ss,rainfall_no_ss_1std
1833-01-01,96.1,-11.755617977528132,-101.34542494591648
1833-02-01,102.3,3.9297940074906563,-80.58045225732823
1833-03-01,183.9,81.22730337078646,7.016020771623431
1833-04-01,173.0,76.98965355805241,10.679416641001225
1833-05-01,55.3,-30.389387947269327,-84.1673529064087
1833-06-01,56.6,-6.69808193668532,-60.39363575098818
1833-07-01,215.8,178.09894785847303,138.75844768886353
1833-08-01,23.7,-40.40528864059594,-98.80916434286249
1833-09-01,224.7,105.32030898876398,5.689187823416248
1833-10-01,16.2,-177.081601489758,-312.6916407069166
1833-11-01,250.2,64.8295158286777,-69.63764651769685
1833-12-01,6.1,-118.97355679702049,-212.93456574188235
1834-01-01,155.0,47.14438202247187,-42.44542494591647
1834-02-01,29.5,-68.87020599250934,-153.38045225732822
1834-03-01,1.0,-101.67269662921355,-175.88397922837657
1834-04-01,115.6,19.589653558052404,-46.72058335899878
1834-05-01,84.7,-0.9893879472693214,-54.76735290640869
1834-06-01,102.0,38.70191806331468,-14.993635750988183
1834-07-01,44.0,6.298947858473014,-33.04155231113649
1834-08-01,281.9,217.79471135940403,159.39083565713747
1834-09-01,24.0,-95.379691011236,-195.01081217658373
1834-10-01,152.0,-41.281601489757975,-176.8916407069166
1834-11-01,178.34,-7.030484171322286,-141.49764651769684
1834-12-01,1.1,-123.97355679702049,-217.93456574188235
1835-01-01,170.2,62.34438202247186,-27.245424945916483
1835-02-01,78.0,-20.37020599250934,-104.88045225732823
1835-03-01,21.3,-81.37269662921355,-155.58397922837656
1835-04-01,114.7,18.689653558052413,-47.62058335899877
1835-05-01,209.0,123.31061205273068,69.53264709359131
1835-06-01,41.7,-21.59808193668532,-75.29363575098819
1835-07-01,2.0,-35.701052141526986,-75.04155231113648
1835-08-01,343.7,279.5947113594041,221.19083565713754
1835-09-01,163.1,43.72030898876399,-55.91081217658375
1835-10-01,145.4,-47.88160148975797,-183.4916407069166
1835-11-01,75.7,-109.67048417132229,-244.13764651769685
1835-12-01,2.0,-123.07355679702049,-217.03456574188237
1836-01-01,104.0,-3.8556179775281265,-93.44542494591647
1836-02-01,300.0,201.62979400749066,117.11954774267177
1836-03-01,125.0,22.327303370786453,-51.883979228376575
1836-04-01,86.2,-9.810346441947587,-76.12058335899877
1836-05-01,77.0,-8.689387947269324,-62.46735290640869
1836-06-01,4.2,-59.09808193668532,-112.79363575098819
1836-07-01,17.2,-20.501052141526987,-59.841552311136496
1836-08-01,12.3,-51.80528864059595,-110.2091643428625
1836-09-01,155.9,36.520308988764,-63.110812176583735
1836-10-01,87.7,-105.58160148975797,-241.1916407069166
1836-11-01,134.8,-50.57048417132228,-185.03764651769683
1836-12-01,89.6,-35.47355679702049,-129.43456574188235
1837-01-01,126.0,18.144382022471873,-71.44542494591647
1837-02-01,63.1,-35.27020599250934,-119.78045225732822
1837-03-01,197.3,94.62730337078646,20.416020771623437
1837-04-01,143.1,47.089653558052404,-19.22058335899878
1837-05-01,124.0,38.310612052730676,-15.467352906408692
1837-06-01,18.6,-44.69808193668532,-98.39363575098818
1837-07-01,57.4,19.698947858473012,-19.641552311136493
1837-08-01,34.2,-29.90528864059594,-88.30916434286249
1837-09-01,73.9,-45.479691011236,-145.11081217658375
1837-10-01,122.2,-71.08160148975797,-206.6916407069166
1837-11-01,49.1,-136.2704841713223,-270.7376465176968
1837-12-01,181.4,56.32644320297952,-37.634565741882355
1838-01-01,83.5,-24.355617977528127,-113.94542494591647
1838-02-01,244.0,145.62979400749066,61.11954774267177
1838-03-01,155.0,52.32730337078645,-21.883979228376575
1838-04-01,102.3,6.289653558052407,-60.02058335899878
1838-05-01,72.4,-13.289387947269319,-67.06735290640869
1838-06-01,134.3,71.00191806331469,17.30636424901183
1838-07-01,49.4,11.698947858473012,-27.641552311136493
1838-08-01,33.1,-31.005288640595943,-89.40916434286248
1838-09-01,320.5,201.120308988764,101.48918782341627
1838-10-01,34.6,-158.68160148975798,-294.2916407069166
1838-11-01,176.2,-9.1704841713223,-143.63764651769685
1838-12-01,86.9,-38.17355679702048,-132.13456574188234
1839-01-01,12.0,-95.85561797752813,-185.44542494591647
1839-02-01,106.5,8.12979400749066,-76.38045225732823
1839-03-01,91.2,-11.472696629213544,-85.68397922837657
1839-04-01,29.5,-66.51034644194759,-132.82058335899876
1839-05-01,111.3,25.610612052730673,-28.167352906408695
1839-06-01,4.0,-59.29808193668532,-112.99363575098818
1839-07-01,0.0,-37.701052141526986,-77.04155231113648
1839-08-01,63.5,-0.6052886405959441,-59.00916434286249
1839-09-01,242.3,122.920308988764,23.28918782341627
1839-10-01,173.5,-19.781601489757975,-155.3916407069166
1839-11-01,545.0,359.6295158286777,225.16235348230316
1839-12-01,203.5,78.42644320297951,-15.53456574188236
1840-01-01,42.4,-65.45561797752814,-155.04542494591647
1840-02-01,70.7,-27.670205992509338,-112.18045225732823
1840-03-01,16.2,-86.47269662921354,-160.6839792283766
1840-04-01,121.0,24.98965355805241,-41.320583358998775
1840-05-01,210.0,124.31061205273068,70.53264709359131
1840-06-01,7.1,-56.19808193668532,-109.89363575098818
1840-07-01,42.9,5.198947858473012,-34.14155231113649
1840-08-01,26.4,-37.705288640595946,-96.1091643428625
1840-09-01,197.9,78.520308988764,-21.110812176583735
1840-10-01,283.1,89.81839851024205,-45.79164070691658
1840-11-01,88.7,-96.67048417132229,-231.13764651769685
1840-12-01,24.4,-100.6735567970205,-194.63456574188237
1841-01-01,72.9,-34.95561797752812,-124.54542494591647
