time_regular,rainfall_regular,rainfall_no_ss
1832-01-01,54.6,-10.899024858016595
1832-02-01,59.6,-3.258865239962624
1832-03-01,64.9,-2.5031915716589026
1832-04-01,40.4,-29.114716341923774
1832-05-01,111.8,41.45345742054917
1832-06-01,39.8,-14.886879462978648
1832-07-01,25.3,-6.613209260500813
1832-08-01,0.0,-46.46462768675852
1832-09-01,12.0,-62.61347512162112
1832-10-01,21.2,-79.7460106479757
1832-11-01,122.8,15.93634754065691
1832-12-01,23.7,-57.268971591783654
1833-01-01,29.2,-36.299024858016594
1833-02-01,61.3,-1.5588652399626284
1833-03-01,115.6,48.196808428341086
1833-04-01,165.2,95.68528365807622
1833-05-01,32.3,-38.04654257945083
1833-06-01,54.0,-0.686879462978645
1833-07-01,87.2,55.28679073949919
1833-08-01,44.7,-1.7646276867585158
1833-09-01,122.0,47.38652487837888
1833-10-01,46.1,-54.846010647975696
1833-11-01,50.3,-56.56365245934309
1833-12-01,48.2,-32.768971591783654
1834-01-01,59.1,-6.399024858016595
1834-02-01,19.9,-42.95886523996263
1834-03-01,3.2,-64.2031915716589
1834-04-01,24.3,-45.214716341923776
1834-05-01,43.4,-26.946542579450828
1834-06-01,48.1,-6.586879462978644
1834-07-01,2.7,-29.213209260500815
1834-08-01,35.1,-11.364627686758517
1834-09-01,14.7,-59.91347512162112
1834-10-01,52.1,-48.846010647975696
1834-11-01,125.0,18.136347540656914
1834-12-01,2.5,-78.46897159178366
1835-01-01,18.8,-46.6990248580166
1835-02-01,70.8,7.941134760037372
1835-03-01,117.4,49.9968084283411
1835-04-01,86.1,16.58528365807622
1835-05-01,132.2,61.85345742054916
1835-06-01,61.8,7.113120537021352
1835-07-01,0.0,-31.913209260500814
1835-08-01,64.4,17.935372313241487
1835-09-01,91.8,17.186524878378876
1835-10-01,89.7,-11.246010647975694
1835-11-01,139.4,32.53634754065692
1835-12-01,21.3,-59.66897159178366
1836-01-01,65.3,-0.19902485801659964
1836-02-01,182.2,119.34113476003736
1836-03-01,56.8,-10.603191571658911
1836-04-01,61.9,-7.614716341923774
1836-05-01,121.1,50.75345742054917
1836-06-01,11.7,-42.98687946297865
1836-07-01,42.9,10.986790739499185
1836-08-01,11.6,-34.86462768675852
1836-09-01,144.7,70.08652487837887
1836-10-01,164.2,63.25398935202429
1836-11-01,72.7,-34.16365245934308
1836-12-01,170.4,89.43102840821635
1837-01-01,108.3,42.8009751419834
1837-02-01,85.6,22.74113476003737
1837-03-01,83.6,16.196808428341086
1837-04-01,141.4,71.88528365807623
1837-05-01,85.6,15.253457420549168
1837-06-01,12.6,-42.086879462978644
1837-07-01,65.2,33.28679073949919
1837-08-01,24.7,-21.76462768675852
1837-09-01,30.7,-43.91347512162112
1837-10-01,37.6,-63.346010647975696
1837-11-01,173.8,66.93634754065693
1837-12-01,84.4,3.431028408216349
1838-01-01,291.1,225.60097514198344
1838-02-01,189.8,126.94113476003739
1838-03-01,116.5,49.09680842834109
1838-04-01,146.4,76.88528365807623
1838-05-01,104.1,33.75345742054917
1838-06-01,27.9,-26.786879462978646
1838-07-01,44.4,12.486790739499185
1838-08-01,16.6,-29.864627686758517
1838-09-01,97.4,22.786524878378884
1838-10-01,30.5,-70.4460106479757
1838-11-01,245.3,138.43634754065693
1838-12-01,39.7,-41.268971591783654
1839-01-01,35.3,-30.1990248580166
1839-02-01,44.3,-18.55886523996263
1839-03-01,163.6,96.19680842834109
1839-04-01,57.8,-11.714716341923776
1839-05-01,52.7,-17.646542579450823
1839-06-01,11.1,-43.586879462978644
1839-07-01,8.2,-23.713209260500815
1839-08-01,53.4,6.93537231324148
1839-09-01,103.6,28.986524878378873
1839-10-01,123.5,22.553989352024303
1839-11-01,202.2,95.3363475406569
1839-12-01,86.6,5.631028408216338
1840-01-01,36.1,-29.399024858016595
1840-02-01,85.6,22.74113476003737
1840-03-01,7.2,-60.203191571658905
1840-04-01,71.6,2.0852836580762215
1840-05-01,153.7,83.35345742054916
1840-06-01,19.5,-35.186879462978645
1840-07-01,13.0,-18.913209260500814
1840-08-01,76.6,30.135372313241476
1840-09-01,165.8,91.18652487837889
1840-10-01,60.7,-40.246010647975694
1840-11-01,155.8,48.936347540656925
1840-12-01,132.2,51.23102840821633
1841-01-01,83.8,18.3009751419834
1841-02-01,100.3,37.44113476003737
1841-03-01,32.8,-34.60319157165891
1841-04-01,65.6,-3.9147163419237785
1841-05-01,66.1,-4.246542579450832
1841-06-01,58.8,4.113120537021352
1841-07-01,32.1,0.18679073949918745
1841-08-01,34.7,-11.764627686758516
1841-09-01,66.7,-7.9134751216211185
1841-10-01,103.8,2.8539893520243
1841-11-01,83.4,-23.46365245934308
1841-12-01,61.6,-19.368971591783655
1842-01-01,72.1,6.6009751419833975
1842-02-01,1.3,-61.55886523996263
1842-03-01,29.1,-38.30319157165891
1842-04-01,59.8,-9.714716341923776
1842-05-01,78.6,8.253457420549168
1842-06-01,51.8,-2.886879462978648
1842-07-01,22.0,-9.913209260500814
1842-08-01,47.2,0.7353723132414842
1842-09-01,206.6,131.98652487837887
1842-10-01,42.4,-58.5460106479757
1842-11-01,89.7,-17.163652459343083
1842-12-01,16.9,-64.06897159178365
1843-01-01,78.2,12.700975141983406
1843-02-01,177.8,114.94113476003739
1843-03-01,40.8,-26.60319157165891
1843-04-01,27.1,-42.41471634192377
1843-05-01,62.8,-7.546542579450829
1843-06-01,118.3,63.61312053702135
1843-07-01,68.7,36.78679073949919
1843-08-01,19.0,-27.46462768675852
1843-09-01,27.0,-47.61347512162112
