time_regular,rainfall_regular,rainfall_no_ss
1880-06-01,22.7,-30.312582780702026
1880-07-01,0.0,-26.44900665067087
1880-08-01,123.5,76.7817879366707
1880-09-01,137.1,48.07417221230682
1880-10-01,64.0,-74.54768199691213
1880-11-01,169.3,39.53741722522389
1880-12-01,36.1,-66.50000007184346
1881-01-01,303.5,221.3052980339833
1881-02-01,17.7,-51.43245032252065
1881-03-01,61.5,-11.280463669878358
1881-04-01,56.7,-15.511589372592255
1881-05-01,148.8,82.0509932969333
1881-06-01,75.8,22.78741721929797
1881-07-01,0.0,-26.44900665067087
1881-08-01,4.0,-42.71821206332931
1881-09-01,202.2,113.17417221230681
1881-10-01,192.5,53.95231800308787
1881-11-01,44.5,-85.26258277477612
1881-12-01,140.5,37.89999992815655
1882-01-01,33.0,-49.19470196601671
1882-02-01,23.5,-45.632450322520654
1882-03-01,71.9,-0.8804636698783526
1882-04-01,47.3,-24.91158937259226
1882-05-01,42.1,-24.64900670306671
1882-06-01,78.6,25.58741721929797
1882-07-01,37.9,11.450993349329128
1882-08-01,18.7,-28.01821206332931
1882-09-01,297.1,208.07417221230685
1882-10-01,213.6,75.05231800308786
1882-11-01,99.2,-30.562582774776118
1882-12-01,164.2,61.599999928156535
1883-01-01,64.5,-17.69470196601671
1883-02-01,78.5,9.367549677479346
1883-03-01,145.4,72.61953633012165
1883-04-01,42.1,-30.111589372592256
1883-05-01,89.9,23.150993296933294
1883-06-01,42.3,-10.712582780702029
1883-07-01,3.9,-22.549006650670872
1883-08-01,4.2,-42.51821206332931
1883-09-01,31.4,-57.625827787693176
1883-10-01,35.4,-103.14768199691213
1883-11-01,139.5,9.73741722522388
1883-12-01,12.0,-90.60000007184345
1884-01-01,19.5,-62.69470196601671
1884-02-01,3.7,-65.43245032252065
1884-03-01,29.6,-43.18046366987836
1884-04-01,117.2,44.988410627407745
1884-05-01,41.6,-25.14900670306671
1884-06-01,106.8,53.78741721929797
1884-07-01,20.8,-5.64900665067087
1884-08-01,50.3,3.581787936670686
1884-09-01,86.0,-3.0258277876931743
1884-10-01,66.4,-72.14768199691213
1884-11-01,10.7,-119.06258277477612
1884-12-01,169.8,67.19999992815656
1885-01-01,105.6,23.405298033983286
1885-02-01,75.5,6.367549677479346
1885-03-01,70.2,-2.5804636698783554
1885-04-01,136.8,64.58841062740775
1885-05-01,41.9,-24.849006703066713
1885-06-01,11.7,-41.31258278070203
1885-07-01,13.0,-13.44900665067087
1885-08-01,127.6,80.88178793667069
1885-09-01,189.6,100.57417221230682
1885-10-01,215.2,76.65231800308786
1885-11-01,80.3,-49.46258277477612
1885-12-01,66.3,-36.300000071843456
1886-01-01,88.8,6.6052980339832885
1886-02-01,37.1,-32.03245032252065
1886-03-01,43.0,-29.78046366987836
1886-04-01,94.3,22.08841062740774
1886-05-01,79.2,12.45099329693329
1886-06-01,161.3,108.28741721929799
1886-07-01,9.1,-17.349006650670873
1886-08-01,44.7,-2.018212063329308
1886-09-01,20.0,-69.02582778769317
1886-10-01,204.1,65.55231800308786
1886-11-01,125.4,-4.362582774776115
1886-12-01,180.7,78.09999992815654
1887-01-01,62.3,-19.89470196601671
1887-02-01,18.2,-50.93245032252065
1887-03-01,101.5,28.71953633012164
1887-04-01,67.3,-4.91158937259226
1887-05-01,145.4,78.6509932969333
1887-06-01,30.1,-22.912582780702024
1887-07-01,2.5,-23.94900665067087
1887-08-01,22.2,-24.51821206332931
1887-09-01,54.0,-35.025827787693174
1887-10-01,186.8,48.25231800308788
1887-11-01,212.2,82.43741722522387
1887-12-01,132.0,29.399999928156547
1888-01-01,3.1,-79.09470196601671
1888-02-01,183.1,113.96754967747934
1888-03-01,144.5,71.71953633012164
1888-04-01,59.4,-12.811589372592259
1888-05-01,29.8,-36.949006703066715
1888-06-01,58.0,4.987417219297974
1888-07-01,8.3,-18.14900665067087
1888-08-01,23.0,-23.71821206332931
1888-09-01,114.5,25.474172212306826
1888-10-01,124.0,-14.547681996912132
1888-11-01,109.6,-20.162582774776126
1888-12-01,92.0,-10.600000071843453
1889-01-01,69.8,-12.394701966016711
1889-02-01,95.2,26.06754967747935
1889-03-01,61.2,-11.580463669878355
1889-04-01,106.8,34.58841062740774
1889-05-01,42.3,-24.449006703066715
1889-06-01,190.8,137.787417219298
1889-07-01,24.1,-2.3490066506708693
1889-08-01,20.8,-25.91821206332931
1889-09-01,49.7,-39.32582778769317
1889-10-01,321.8,183.25231800308788
1889-11-01,120.2,-9.562582774776118
1889-12-01,70.0,-32.60000007184345
1890-01-01,50.9,-31.29470196601671
1890-02-01,2.6,-66.53245032252066
1890-03-01,98.9,26.119536330121647
1890-04-01,118.2,45.988410627407745
1890-05-01,62.5,-4.249006703066712
1890-06-01,24.0,-29.012582780702026
1890-07-01,9.8,-16.64900665067087
1890-08-01,46.9,0.1817879366706876
1890-09-01,51.6,-37.42582778769317
1890-10-01,98.5,-40.04768199691213
1890-11-01,106.4,-23.362582774776115
1890-12-01,53.5,-49.10000007184345
1891-01-01,152.2,70.00529803398328
1891-02-01,4.5,-64.63245032252065
1891-03-01,45.5,-27.28046366987836
1891-04-01,57.0,-15.211589372592258
1891-05-01,38.8,-27.949006703066715
1891-06-01,50.8,-2.2125827807020286
1891-07-01,13.0,-13.44900665067087
1891-08-01,49.6,2.8817879366706904
1891-09-01,14.0,-75.02582778769317
1891-10-01,145.7,7.152318003087856
1891-11-01,134.7,4.937417225223868
1891-12-01,,
1892-01-01,160.1,77.90529803398329
1892-02-01,151.8,82.66754967747936
1892-03-01,164.2,91.41953633012163
1892-04-01,92.3,20.08841062740774
1892-05-01,31.0,-35.74900670306671
1892-06-01,16.8,-36.21258278070202
1892-07-01,9.5,-16.94900665067087
1892-08-01,102.0,55.28178793667069
1892-09-01,37.5,-51.525827787693174
1892-10-01,141.8,3.252318003087879
1892-11-01,102.8,-26.962582774776124
1892-12-01,117.1,14.49999992815654
1893-01-01,64.4,-17.794701966016703
1893-02-01,128.6,59.46754967747934
1893-03-01,3.8,-68.98046366987836
1893-04-01,7.2,-65.01158937259225
1893-05-01,66.7,-0.04900670306670918
1893-06-01,39.3,-13.712582780702029
1893-07-01,213.7,187.25099334932912
1893-08-01,50.2,3.481787936670692
1893-09-01,108.1,19.07417221230682
1893-10-01,301.1,162.5523180030879
1893-11-01,272.8,143.0374172252239
1893-12-01,81.3,-21.300000071843456
1894-01-01,79.9,-2.294701966016703
1894-02-01,29.6,-39.53245032252065
1894-03-01,27.3,-45.48046366987836
1894-04-01,86.7,14.488410627407745
1894-05-01,84.3,17.550993296933285
1894-06-01,31.5,-21.512582780702026
1894-07-01,1.2,-25.24900665067087
1894-08-01,4.1,-42.61821206332931
1894-09-01,114.3,25.274172212306823
1894-10-01,95.0,-43.54768199691213
1894-11-01,35.4,-94.36258277477612
1894-12-01,22.3,-80.30000007184346
1895-01-01,110.5,28.30529803398329
1895-02-01,139.0,69.86754967747935
1895-03-01,69.6,-3.180463669878364
1895-04-01,96.7,24.488410627407745
1895-05-01,75.3,8.550993296933285
1895-06-01,74.4,21.38741721929798
1895-07-01,7.4,-19.04900665067087
1895-08-01,8.2,-38.518212063329315
1895-09-01,9.6,-79.42582778769318
1895-10-01,253.7,115.15231800308786
1895-11-01,126.5,-3.2625827747761207
1895-12-01,159.2,56.599999928156535
1896-01-01,15.4,-66.7947019660167
1896-02-01,13.9,-55.232450322520656
1896-03-01,19.4,-53.38046366987836
1896-04-01,20.5,-51.71158937259226
1896-05-01,108.8,42.050993296933285
1896-06-01,83.6,30.58741721929797
1896-07-01,107.4,80.95099334932914
1896-08-01,274.3,227.5817879366707
1896-09-01,150.3,61.27417221230684
1896-10-01,228.9,90.35231800308787
1896-11-01,186.5,56.73741722522388
1896-12-01,182.3,79.69999992815656
1897-01-01,83.9,1.705298033983297
1897-02-01,21.6,-47.53245032252065
1897-03-01,61.3,-11.480463669878361
1897-04-01,44.0,-28.211589372592258
1897-05-01,56.6,-10.14900670306671
1897-06-01,17.4,-35.61258278070203
1897-07-01,72.5,46.05099334932913
1897-08-01,68.9,22.181787936670695
1897-09-01,94.0,4.974172212306826
1897-10-01,108.1,-30.447681996912138
1897-11-01,44.9,-84.86258277477612
1897-12-01,117.2,14.59999992815655
1898-01-01,60.7,-21.494701966016706
1898-02-01,81.2,12.067549677479349
1898-03-01,154.3,81.51953633012165
1898-04-01,234.6,162.38841062740772
1898-05-01,80.4,13.650993296933294
1898-06-01,67.3,14.287417219297971
1898-07-01,77.5,51.05099334932913
1898-08-01,45.3,-1.4182120633293138
1898-09-01,65.2,-23.82582778769317
1898-10-01,206.3,67.75231800308788
1898-11-01,319.6,189.8374172252239
1898-12-01,128.1,25.49999992815654
1899-01-01,49.2,-32.994701966016706
1899-02-01,56.9,-12.232450322520656
1899-03-01,57.6,-15.180463669878357
1899-04-01,128.9,56.68841062740775
1899-05-01,32.2,-34.54900670306671
1899-06-01,63.7,10.687417219297977
1899-07-01,14.9,-11.54900665067087
1899-08-01,18.5,-28.21821206332931
1899-09-01,146.0,56.974172212306826
1899-10-01,207.4,68.85231800308787
1899-11-01,40.5,-89.26258277477612
1899-12-01,128.8,26.199999928156558
1900-01-01,152.4,70.2052980339833
1900-02-01,62.5,-6.632450322520654
1900-03-01,140.4,67.61953633012165
1900-04-01,38.3,-33.91158937259226
1900-05-01,113.3,46.550993296933285
1900-06-01,32.5,-20.512582780702026
1900-07-01,19.2,-7.2490066506708715
1900-08-01,19.5,-27.21821206332931
1900-09-01,162.4,73.37417221230683
1900-10-01,64.0,-74.54768199691213
1900-11-01,304.0,174.23741722522388
1900-12-01,102.6,-7.184345918176405e-08
1901-01-01,20.3,-61.89470196601671
1901-02-01,151.4,82.26754967747935
1901-03-01,236.6,163.81953633012165
1901-04-01,31.6,-40.611589372592256
1901-05-01,58.4,-8.349006703066713
1901-06-01,55.3,2.2874172192979714
1901-07-01,29.1,2.6509933493291307
1901-08-01,33.8,-12.918212063329314
1901-09-01,153.5,64.47417221230683
1901-10-01,110.5,-28.047681996912132
1901-11-01,56.1,-73.66258277477613
1901-12-01,115.8,13.199999928156544
1902-01-01,70.1,-12.094701966016714
1902-02-01,147.6,78.46754967747934
1902-03-01,86.8,14.019536330121639
1902-04-01,92.9,20.688410627407748
1902-05-01,33.6,-33.14900670306671
1902-06-01,116.2,63.18741721929798
1902-07-01,18.0,-8.44900665067087
1902-08-01,43.4,-3.3182120633293124
1902-09-01,7.8,-81.22582778769318
1902-10-01,203.7,65.15231800308786
1902-11-01,88.3,-41.46258277477612
1902-12-01,33.8,-68.80000007184346
1903-01-01,54.5,-27.69470196601671
1903-02-01,8.3,-60.83245032252066
1903-03-01,72.6,-0.18046366987836393
1903-04-01,38.0,-34.21158937259226
1903-05-01,110.1,43.35099329693328
1903-06-01,139.0,85.98741721929798
1903-07-01,25.4,-1.0490066506708722
1903-08-01,0.1,-46.61821206332931
1903-09-01,62.9,-26.125827787693176
1903-10-01,141.9,3.3523180030878734
1903-11-01,110.2,-19.562582774776118
1903-12-01,276.7,174.09999992815654
1904-01-01,67.8,-14.394701966016711
1904-02-01,58.9,-10.232450322520656
1904-03-01,88.4,15.619536330121647
1904-04-01,50.5,-21.711589372592258
1904-05-01,7.8,-58.949006703066715
1904-06-01,15.7,-37.31258278070203
1904-07-01,39.1,12.65099334932913
1904-08-01,113.3,66.58178793667068
1904-09-01,105.9,16.87417221230683
1904-10-01,43.9,-94.64768199691213
1904-11-01,44.8,-84.96258277477612
1904-12-01,46.6,-56.00000007184345
1905-01-01,31.5,-50.69470196601671
1905-02-01,71.2,2.0675496774793487
1905-03-01,64.9,-7.880463669878353
1905-04-01,72.2,-0.011589372592254676
1905-05-01,141.3,74.5509932969333
1905-06-01,81.9,28.88741721929798
1905-07-01,50.3,23.850993349329126
1905-08-01,174.5,127.7817879366707
1905-09-01,148.5,59.474172212306826
1905-10-01,221.5,82.95231800308787
1905-11-01,317.5,187.73741722522388
1905-12-01,13.1,-89.50000007184346
1906-01-01,77.0,-5.194701966016709
1906-02-01,71.4,2.2675496774793515
1906-03-01,97.0,24.21953633012164
1906-04-01,50.6,-21.611589372592256
1906-05-01,105.5,38.75099329693329
1906-06-01,67.0,13.987417219297974
1906-07-01,63.0,36.55099334932913
1906-08-01,0.5,-46.21821206332931
1906-09-01,32.1,-56.92582778769317
1906-10-01,165.2,26.652318003087856
1906-11-01,277.3,147.5374172252239
1906-12-01,76.5,-26.100000071843453
1907-01-01,59.1,-23.094701966016707
1907-02-01,42.3,-26.832450322520657
1907-03-01,23.0,-49.78046366987836
1907-04-01,128.9,56.68841062740775
