time_regular,rainfall_regular,rainfall_no_ss
1877-01-01,90.0,-55.983196721311515
1877-02-01,72.5,-48.62155647382923
1877-03-01,289.0,156.85070460704608
1877-04-01,184.0,72.44810298102973
1877-05-01,140.2,45.39132513661201
1877-06-01,18.0,-46.57479508196721
1877-07-01,31.0,-2.4011517615176032
1877-08-01,2.5,-51.46029810298103
1877-09-01,37.3,-71.17594850948508
1877-10-01,37.0,-146.74695121951214
1877-11-01,268.0,81.95271002710024
1877-12-01,91.0,-75.7301912568307
1878-01-01,79.0,-66.98319672131151
1878-02-01,46.5,-74.62155647382923
1878-03-01,79.5,-52.64929539295392
1878-04-01,103.7,-7.851897018970263
1878-05-01,55.5,-39.30867486338798
1878-06-01,80.4,15.825204918032796
1878-07-01,68.0,34.5988482384824
1878-08-01,58.0,4.039701897018972
1878-09-01,180.0,71.52405149051492
1878-10-01,340.5,156.75304878048786
1878-11-01,221.5,35.45271002710024
1878-12-01,167.5,0.7698087431693068
1879-01-01,79.0,-66.98319672131151
1879-02-01,253.0,131.87844352617077
1879-03-01,118.0,-14.149295392953917
1879-04-01,357.0,245.44810298102973
1879-05-01,199.0,104.19132513661202
1879-06-01,5.0,-59.57479508196721
1879-07-01,0.0,-33.4011517615176
1879-08-01,0.0,-53.96029810298103
1879-09-01,134.0,25.52405149051492
1879-10-01,40.0,-143.74695121951214
1879-11-01,249.0,62.95271002710024
1879-12-01,190.0,23.269808743169307
1880-01-01,,
1880-02-01,,
1880-03-01,,
1880-04-01,,
1880-05-01,,
1880-06-01,,
1880-07-01,,
1880-08-01,,
1880-09-01,,
1880-10-01,,
1880-11-01,,
1880-12-01,,
1881-01-01,236.0,90.01680327868849
1881-02-01,37.0,-84.12155647382923
1881-03-01,204.0,71.85070460704608
1881-04-01,99.0,-12.551897018970266
1881-05-01,47.0,-47.80867486338798
1881-06-01,70.0,5.42520491803279
1881-07-01,15.8,-17.601151761517603
1881-08-01,32.0,-21.960298102981028
1881-09-01,200.9,92.42405149051493
1881-10-01,124.0,-59.74695121951214
1881-11-01,388.0,201.95271002710024
1881-12-01,141.0,-25.730191256830693
1882-01-01,78.0,-67.98319672131151
1882-02-01,100.0,-21.12155647382923
1882-03-01,80.4,-51.74929539295391
1882-04-01,167.0,55.448102981029734
1882-05-01,190.0,95.19132513661202
1882-06-01,55.0,-9.57479508196721
1882-07-01,50.4,16.998848238482395
1882-08-01,74.5,20.539701897018972
1882-09-01,250.8,142.32405149051493
1882-10-01,423.2,239.45304878048785
1882-11-01,150.8,-35.24728997289975
1882-12-01,228.2,61.469808743169295
1883-01-01,104.7,-41.28319672131151
1883-02-01,175.3,54.17844352617078
1883-03-01,215.4,83.25070460704609
1883-04-01,60.0,-51.551897018970266
1883-05-01,78.0,-16.808674863387978
1883-06-01,118.7,54.12520491803279
1883-07-01,7.3,-26.101151761517603
1883-08-01,9.4,-44.56029810298103
1883-09-01,60.5,-47.97594850948508
1883-10-01,165.4,-18.346951219512135
1883-11-01,307.8,121.75271002710025
1883-12-01,129.7,-37.030191256830705
1884-01-01,70.3,-75.68319672131152
1884-02-01,135.5,14.37844352617077
1884-03-01,61.8,-70.34929539295392
1884-04-01,177.3,65.74810298102975
1884-05-01,128.6,33.791325136612016
1884-06-01,182.0,117.42520491803279
1884-07-01,0.0,-33.4011517615176
1884-08-01,43.7,-10.260298102981025
1884-09-01,224.8,116.32405149051493
1884-10-01,160.0,-23.74695121951214
1884-11-01,270.0,83.95271002710024
1884-12-01,178.0,11.269808743169307
1885-01-01,158.4,12.41680327868849
1885-02-01,136.9,15.778443526170776
1885-03-01,57.6,-74.54929539295392
1885-04-01,276.5,164.94810298102973
1885-05-01,198.0,103.19132513661202
1885-06-01,24.2,-40.37479508196721
1885-07-01,0.0,-33.4011517615176
1885-08-01,51.5,-2.460298102981028
1885-09-01,168.6,60.124051490514915
1885-10-01,249.9,66.15304878048786
1885-11-01,230.3,44.25271002710025
1885-12-01,73.5,-93.2301912568307
1886-01-01,387.5,241.51680327868849
1886-02-01,0.0,-121.12155647382923
1886-03-01,86.6,-45.54929539295392
1886-04-01,76.1,-35.45189701897027
1886-05-01,145.3,50.49132513661203
1886-06-01,59.1,-5.474795081967208
1886-07-01,0.0,-33.4011517615176
1886-08-01,30.1,-23.860298102981027
1886-09-01,64.6,-43.875948509485085
1886-10-01,312.7,128.95304878048785
1886-11-01,145.1,-40.94728997289977
1886-12-01,174.3,7.569808743169318
1887-01-01,77.05,-68.93319672131152
1887-02-01,20.5,-100.62155647382923
1887-03-01,84.75,-47.39929539295392
1887-04-01,103.35,-8.201897018970271
1887-05-01,120.75,25.941325136612022
1887-06-01,128.8,64.2252049180328
1887-07-01,0.0,-33.4011517615176
1887-08-01,36.75,-17.210298102981028
1887-09-01,56.85,-51.62594850948508
1887-10-01,196.4,12.653048780487865
1887-11-01,414.8,228.75271002710025
1887-12-01,161.6,-5.130191256830699
1888-01-01,3.5,-142.48319672131151
1888-02-01,149.05,27.92844352617078
1888-03-01,284.45,152.30070460704607
1888-04-01,85.7,-25.851897018970263
1888-05-01,36.0,-58.80867486338798
1888-06-01,57.45,-7.124795081967207
1888-07-01,51.5,18.098848238482397
1888-08-01,2.5,-51.46029810298103
1888-09-01,179.5,71.02405149051492
1888-10-01,181.75,-1.996951219512141
1888-11-01,255.75,69.70271002710024
1888-12-01,137.2,-29.530191256830705
1889-01-01,191.2,45.216803278688474
1889-02-01,26.9,-94.22155647382922
1889-03-01,159.1,26.950704607046077
1889-04-01,222.2,110.64810298102972
